Date,Treatment,mean_tmt_VWC,se_tmt_VWC
11/5/2020,Control,0.018928571,0.008370919
11/5/2020,Pit,0.065625,0.017376052
11/5/2020,Pit + Char,0.052178571,0.014321429
11/6/2020,Control,0.01765625,0.006256695
11/6/2020,Pit,0.071364583,0.015730913
11/6/2020,Pit + Char,0.0601875,0.011145833
11/7/2020,Control,0.01875,0.005912777
11/7/2020,Pit,0.072645833,0.014857195
11/7/2020,Pit + Char,0.060145833,0.008395833
11/8/2020,Control,0.01334375,0.005251388
11/8/2020,Pit,0.067427083,0.015623448
11/8/2020,Pit + Char,0.059375,0.00575
11/9/2020,Control,0.007708333,0.004958946
11/9/2020,Pit,0.06465625,0.016113416
11/9/2020,Pit + Char,0.0555625,0.008604167
11/10/2020,Control,0.005333333,0.004660431
11/10/2020,Pit,0.063197917,0.01630723
11/10/2020,Pit + Char,0.054166667,0.009166667
11/11/2020,Control,0.00384375,0.004552401
11/11/2020,Pit,0.06215625,0.0164871
11/11/2020,Pit + Char,0.052625,0.01
11/12/2020,Control,0.001604167,0.00429283
11/12/2020,Pit,0.06103125,0.016339297
11/12/2020,Pit + Char,0.050375,0.010916667
11/13/2020,Control,0.003666667,0.00444823
11/13/2020,Pit,0.061697917,0.015757791
11/13/2020,Pit + Char,0.05,0.011375
11/14/2020,Control,0.001958333,0.004398975
11/14/2020,Pit,0.061427083,0.015126859
11/14/2020,Pit + Char,0.047270833,0.0120625
11/15/2020,Control,0,0.004275742
11/15/2020,Pit,0.057989583,0.015570194
11/15/2020,Pit + Char,0.044458333,0.013333333
11/16/2020,Control,0,0.004306621
11/16/2020,Pit,0.057041667,0.015330257
11/16/2020,Pit + Char,0.042729167,0.013479167
11/17/2020,Control,0,0.004367135
11/17/2020,Pit,0.05659375,0.014919066
11/17/2020,Pit + Char,0.041208333,0.013875
11/18/2020,Control,0.002302083,0.00450541
11/18/2020,Pit,0.060322917,0.013450541
11/18/2020,Pit + Char,0.042895833,0.013479167
11/19/2020,Control,0,0.004471667
11/19/2020,Pit,0.058739583,0.0132667
11/19/2020,Pit + Char,0.04,0.013916667
11/20/2020,Control,0,0.004315313
11/20/2020,Pit,0.053614583,0.013859699
11/20/2020,Pit + Char,0.035166667,0.015916667
11/21/2020,Control,0,0.004315816
11/21/2020,Pit,0.053625,0.013162853
11/21/2020,Pit + Char,0.0344375,0.0156875
11/22/2020,Control,0,0.004159243
11/22/2020,Pit,0.048541667,0.013711805
11/22/2020,Pit + Char,0.029583333,0.017291667
11/23/2020,Control,0,0.004257584
11/23/2020,Pit,0.0500625,0.01287096
11/23/2020,Pit + Char,0.030458333,0.016958333
11/24/2020,Control,0.006197917,0.004644397
