Pit,Species,seed_trt,pit_trt,total_g,g_m2,status,func_group
1,DESO,not seeded,pit,0.1757,4.3925,Weedy/non-native species,non-native forb
1,SATR,not seeded,pit,0.0781,1.9525,Weedy/non-native species,non-native forb
2,SATR,bare seeds,pit,0.0081,0.2025,Weedy/non-native species,non-native forb
3,SATR,not seeded,pit + biochar,0.1338,3.345,Weedy/non-native species,non-native forb
3,SPCR,not seeded,pit + biochar,0.0108,0.27,Native seeded species,C4 grass
4,NA,bare seeds,control,0,0,NA,NA
5,ACHY,bare seeds,pit + biochar,0.0448,1.12,Native seeded species,C3 grass
5,PLJA,bare seeds,pit + biochar,0.0186,0.465,Native seeded species,C4 grass
5,SATR,bare seeds,pit + biochar,0.3033,7.5825,Weedy/non-native species,non-native forb
6,NA,bare seeds,control,0,0,NA,NA
7,SATR,seed pellet,control,0.0109,0.2725,Weedy/non-native species,non-native forb
8,SATR,seed pellet,control,0.0192,0.48,Weedy/non-native species,non-native forb
9,SATR,not seeded,control,0.0074,0.185,Weedy/non-native species,non-native forb
10,SATR,seed pellet,pit,0.059,1.475,Weedy/non-native species,non-native forb
11,ACHY,seed pellet,pit + biochar,0.0208,0.52,Native seeded species,C3 grass
11,PLJA,seed pellet,pit + biochar,0.0247,0.6175,Native seeded species,C4 grass
11,SATR,seed pellet,pit + biochar,0.032,0.8,Weedy/non-native species,non-native forb
12,SATR,not seeded,control,0.0017,0.0425,Weedy/non-native species,non-native forb
13,ACHY,bare seeds,pit + biochar,0.0257,0.6425,Native seeded species,C3 grass
13,PLJA,bare seeds,pit + biochar,0.2145,5.3625,Native seeded species,C4 grass
13,SATR,bare seeds,pit + biochar,0.0279,0.6975,Weedy/non-native species,non-native forb
13,SPCR,bare seeds,pit + biochar,0.4971,12.4275,Native seeded species,C4 grass
14,NA,bare seeds,control,0,0,NA,NA
15,SATR,bare seeds,control,0.0058,0.145,Weedy/non-native species,non-native forb
16,SATR,not seeded,pit,0.0305,0.7625,Weedy/non-native species,non-native forb
17,ACHY,bare seeds,pit,0.0083,0.2075,Native seeded species,C3 grass
17,SATR,bare seeds,pit,0.0995,2.4875,Weedy/non-native species,non-native forb
18,SATR,not seeded,control,0.0412,1.03,Weedy/non-native species,non-native forb
19,SATR,seed pellet,pit,0.0435,1.0875,Weedy/non-native species,non-native forb
20,SATR,not seeded,pit + biochar,0.021,0.525,Weedy/non-native species,non-native forb
21,NA,seed pellet,control,0,0,NA,NA
22,SATR,not seeded,control,0.0351,0.8775,Weedy/non-native species,non-native forb
23,ACHY,seed pellet,pit,0.0063,0.1575,Native seeded species,C3 grass
23,PLJA,seed pellet,pit,0.0906,2.265,Native seeded species,C4 grass
23,SATR,seed pellet,pit,0.1283,3.2075,Weedy/non-native species,non-native forb
24,SATR,seed pellet,control,0.0153,0.3825,Weedy/non-native species,non-native forb
25,ACHY,bare seeds,pit,0.0112,0.28,Native seeded species,C3 grass
25,SATR,bare seeds,pit,0.3385,8.4625,Weedy/non-native species,non-native forb
26,PLJA,bare seeds,pit + biochar,0.044,1.1,Native seeded species,C4 grass
26,SATR,bare seeds,pit + biochar,3.1985,79.9625,Weedy/non-native species,non-native forb
26,SPCR,bare seeds,pit + biochar,0.0887,2.2175,Native seeded species,C4 grass
27,SATR,seed pellet,control,0.0442,1.105,Weedy/non-native species,non-native forb
28,SATR,not seeded,pit + biochar,0.0996,2.49,Weedy/non-native species,non-native forb
29,PLJA,seed pellet,pit,0.0108,0.27,Native seeded species,C4 grass
29,SATR,seed pellet,pit,0.1182,2.955,Weedy/non-native species,non-native forb
30,LAOC,seed pellet,pit + biochar,0.0285,0.7125,Weedy/non-native species,non-native forb
30,PLJA,seed pellet,pit + biochar,0.017,0.425,Native seeded species,C4 grass
30,SATR,seed pellet,pit + biochar,1.1283,28.2075,Weedy/non-native species,non-native forb
31,SATR,not seeded,pit,0.0126,0.315,Weedy/non-native species,non-native forb
32,NA,not seeded,control,0,0,NA,NA
33,NA,seed pellet,control,0,0,NA,NA
34,NA,not seeded,control,0,0,NA,NA
35,SATR,bare seeds,control,0.0033,0.0825,Weedy/non-native species,non-native forb
36,NA,bare seeds,control,0,0,NA,NA
37,SATR,not seeded,control,0.0952,2.38,Weedy/non-native species,non-native forb
38,SATR,bare seeds,control,0.0334,0.835,Weedy/non-native species,non-native forb
39,SATR,seed pellet,control,0.0019,0.0475,Weedy/non-native species,non-native forb
40,SATR,not seeded,pit,3.6092,90.23,Weedy/non-native species,non-native forb
41,SATR,seed pellet,pit + biochar,0.0946,2.365,Weedy/non-native species,non-native forb
41,SPCR,seed pellet,pit + biochar,0.0144,0.36,Native seeded species,C4 grass
42,SATR,bare seeds,control,0.0163,0.4075,Weedy/non-native species,non-native forb
43,SATR,not seeded,pit + biochar,0.2727,6.8175,Weedy/non-native species,non-native forb
44,ACHY,seed pellet,pit,0.0207,0.5175,Native seeded species,C3 grass
44,SATR,seed pellet,pit,0.1564,3.91,Weedy/non-native species,non-native forb
45,SATR,not seeded,control,0.0241,0.6025,Weedy/non-native species,non-native forb
46,SATR,seed pellet,control,0.008,0.2,Weedy/non-native species,non-native forb
47,SATR,bare seeds,pit,0.0381,0.9525,Weedy/non-native species,non-native forb
48,SATR,bare seeds,pit + biochar,0.1153,2.8825,Weedy/non-native species,non-native forb
49,SATR,bare seeds,pit,0.0708,1.77,Weedy/non-native species,non-native forb
49,SPCR,bare seeds,pit,0.0189,0.4725,Native seeded species,C4 grass
50,NA,seed pellet,control,0,0,NA,NA
51,LAOC,bare seeds,pit,0.0216,0.54,Weedy/non-native species,non-native forb
51,PLJA,bare seeds,pit,0.0136,0.34,Native seeded species,C4 grass
51,SATR,bare seeds,pit,0.0231,0.5775,Weedy/non-native species,non-native forb
52,SATR,seed pellet,pit,0.0156,0.39,Weedy/non-native species,non-native forb
53,NA,seed pellet,control,0,0,NA,NA
54,SATR,not seeded,pit + biochar,0.5173,12.9325,Weedy/non-native species,non-native forb
55,NA,not seeded,control,0,0,NA,NA
