SampleID,Mass_extracted_g
R.SATR44.pellet22a,0.1004
R.ACHY133.pellet22c,0.0949
R.ACHY25.seed22b,0.0545
R.ACHY.healthyc,0.1007
C22b,0.0996
BP22a,0.0995
C21c,0.1003
R.SATR61.pellet22b,0.1007
R.SATR66.seed22a,0.0992
R.ACHY117.seed22c,0.101
Hb22a,0.0991
C22c,0.0997
BP22b,0.1008
blank2,0
R.SATR138.pellet22c,0.099
R.SATR104.seed22b,0.0999
R.SATR.healthya,0.1003
Hb22b,0.1004
CD22a,0.1006
BP22c,0.0998
R.PLJA103.pellet22a,0.1007
R.SATR131.seed22c,0.1009
R.SATR.healthyb,0.0841
Hb22c,0.0999
CD22b,0.1006
P21a,0.1
R.PLJA133.pellet22b,0.0301
R.PLJA66.seed22a,0.0884
R.SATR.healthyc,0.1005
HbD22a,0.1005
CD22c,0.0988
P21b,0.1005
R.PLJA145.pellet22c,0.1008
R.PLJA140.seed22b,0.1006
blank1,0
HbD22b,0.0997
P22a,0.1
P21c,0.1009
R.ACHY44.pellet22a,0.0997
R.PLJA150.seed22c,0.0999
R.ACHY.healthya,0.0996
HbD22c,0.1005
P22b,0.1009
C21a,0.1001
R.ACHY103.pellet22b,0.1006
R.ACHY17.seed22a,0.1004
R.ACHY.healthyb,0.1006
C22a,0.0996
P22c,0.1012
C21b,0.1003
